"","Var1","Freq"
"1","[Rhizobium] sphaerophysae group",1
"2","28-YEA-48",2
"3","Abditibacterium",1
"4","Acaricomes",1
"5","Acetonema",1
"6","Achromobacter",36
"7","Acidibacter",67
"8","Acidicaldus",2
"9","Acidovorax",1
"10","Acinetobacter",7
"11","Actinoallomurus",1
"12","Actinobacillus",1
"13","Actinocorallia",3
"14","Actinokineospora",1
"15","Actinomadura",3
"16","Actinomycetospora",3
"17","Actinoplanes",25
"18","Actinopolymorpha",1
"19","Actinotalea",9
"20","Adhaeribacter",23
"21","ADurb.Bin063-1",5
"22","Aeromicrobium",16
"23","Aeromonas",2
"24","Aestuariimicrobium",2
"25","Aestuariivita",1
"26","Afipia",6
"27","Aggregicoccus",2
"28","Agriterribacter",12
"29","Agrobacterium",6
"30","Agromyces",9
"31","Ahniella",4
"32","Algoriphagus",2
"33","Aliihoeflea",3
"34","Alkalibacter",1
"35","Alkalihalobacterium",1
"36","Allorhizobium",1
"37","Allosphingosinicella",7
"38","Allostreptomyces",1
"39","alphaI cluster",5
"40","Alteraurantiacibacter",1
"41","Altererythrobacter",4
"42","Altericroceibacterium",2
"43","Amaricoccus",5
"44","Aminipila",1
"45","Aminobacter",11
"46","Ammoniibacillus",19
"47","Ammoniphilus",18
"48","Amycolatopsis",2
"49","Anaerobacterium",4
"50","Anaerocolumna",20
"51","Anaerofustis",2
"52","Anaerolinea",6
"53","Anaeromicropila",5
"54","Anaeromyxobacter",35
"55","Anaerosinus",1
"56","Anaerosporomusa",33
"57","Anaerotaenia",12
"58","Anaerotignum",1
"59","Anaerotruncus",3
"60","Anaerovorax",24
"61","Ancylobacter",1
"62","Aneurinibacillus",1
"63","Angustibacter",6
"64","Anoxybacter",30
"65","Aquabacterium",2
"66","Aquamicrobium",1
"67","Aquicella",6
"68","Aquihabitans",6
"69","Aquincola",20
"70","Aquisphaera",3
"71","Archangium",15
"72","Arcticibacter",26
"73","Arenimicrobium",3
"74","Arenimonas",32
"75","Aromatoleum",28
"76","Arsenicitalea",10
"77","Arthrobacter",7
"78","Asanoa",1
"79","Asticcacaulis",5
"80","Aurantisolimonas",2
"81","Aureimonas",1
"82","Azoarcus",1
"83","Azohydromonas",16
"84","Azomonas",1
"85","Azorhizobium",1
"86","Azospirillum",36
"87","Azotobacter",3
"88","Bacillus",8
"89","Baekduia",29
"90","Bauldia",12
"91","BD1-7 clade",1
"92","Bdellovibrio",11
"93","Beijerinckia",1
"94","Belnapia",1
"95","BIyi10",29
"96","Blastococcus",5
"97","Bordetella",3
"98","Bosea",11
"99","Bradyrhizobium",3
"100","Brassicibacter",3
"101","Brevibacillus",42
"102","Brevundimonas",16
"103","Brucella",2
"104","Bryobacter",3
"105","BSV13",11
"106","Burkholderia-Caballeronia-Paraburkholderia",29
"107","Buttiauxella",4
"108","Caedibacter",5
"109","Caenimonas",27
"110","Caldicoprobacter",9
"111","Calothrix PCC-6303",1
"112","Camelimonas",3
"113","Candidatus Alysiosphaera",8
"114","Candidatus Amoebophilus",12
"115","Candidatus Arcanobacter",1
"116","Candidatus Berkiella",13
"117","Candidatus Captivus",4
"118","Candidatus Dichloromethanomonas",13
"119","Candidatus Endonucleariobacter",3
"120","Candidatus Entotheonella",1
"121","Candidatus Finniella",1
"122","Candidatus Gigarickettsia",1
"123","Candidatus Hepatincola",1
"124","Candidatus Jidaibacter",3
"125","Candidatus Latescibacter",1
"126","Candidatus Megaira",7
"127","Candidatus Metachlamydia",1
"128","Candidatus Nitrosocosmicus",1
"129","Candidatus Nucleicultrix",2
"130","Candidatus Ovatusbacter",11
"131","Candidatus Paracaedibacter",13
"132","Candidatus Protistobacter",4
"133","Candidatus Protochlamydia",6
"134","Candidatus Soleaferrea",1
"135","Candidatus Solibacter",2
"136","Candidatus Trichorickettsia",2
"137","Candidatus Udaeobacter",6
"138","Candidatus Xiphinematobacter",6
"139","Candidimonas",7
"140","Caproiciproducens",7
"141","Catenuloplanes",1
"142","Caulobacter",17
"143","Cellulomonas",28
"144","Cellulosibacter",4
"145","Cellulosimicrobium",1
"146","Cellvibrio",14
"147","Cephaloticoccus",6
"148","Chelatococcus",1
"149","Chengkuizengella",3
"150","Chitinophaga",61
"151","Christensenellaceae R-7 group",34
"152","Chryseobacterium",2
"153","Chryseolinea",14
"154","Chryseotalea",2
"155","Chthoniobacter",98
"156","Chungangia",4
"157","Ciceribacter",1
"158","Citricoccus",1
"159","Citrobacter",5
"160","Clavibacter",1
"161","Clostridioides",1
"162","Clostridium",71
"163","CM1G08",8
"164","Cohnella",95
"165","Colidextribacter",1
"166","Comamonas",10
"167","Conexibacter",12
"168","Constrictibacter",1
"169","Conyzicola",1
"170","Corallococcus",1
"171","Corticimicrobacter",11
"172","Corynebacterium",1
"173","Coxiella",10
"174","Crassaminicella",1
"175","Croceibacterium",13
"176","Crocinitomix",1
"177","Cryptosporangium",2
"178","Cupriavidus",29
"179","Cutibacterium",1
"180","Cylindrospermum PCC-7417",3
"181","Cystobacter",6
"182","Cytobacillus",2
"183","Cytophaga",12
"184","Dactylosporangium",2
"185","Daeguia",1
"186","Daejeonella",44
"187","Dankookia",1
